alg,impl,system,nnode,nproc,thread_per_proc,m,k,n,p,q,try,nb,gemm_time,gflops,timestamp
slate-gemm,cpp,perlmutter-gpu-cpu,32,128,32,50000,50000,50000,8,16,4,384,7.659733,32638.211268,2026-06-01T12:12:38
slate-gemm,cpp,perlmutter-gpu-cpu,4,16,32,50000,50000,50000,4,4,10,384,44.411217,5629.208455,2026-06-01T08:05:20
slate-gemm,cpp,perlmutter-gpu-cpu,32,128,32,50000,50000,50000,8,16,6,384,7.838518,31893.783064,2026-06-01T12:13:23
slate-gemm,cpp,perlmutter-gpu-cpu,4,16,32,50000,50000,50000,4,4,4,384,44.619989,5602.87007,2026-06-01T07:58:50
slate-gemm,cpp,perlmutter-gpu-cpu,2,8,32,50000,50000,50000,2,4,10,384,86.721395,2882.794965,2026-06-01T08:41:36
slate-gemm,cpp,perlmutter-gpu-cpu,1,4,32,50000,50000,50000,2,2,1,384,164.84039,1516.618592,2026-06-01T09:14:03
slate-gemm,cpp,perlmutter-gpu-cpu,32,128,32,50000,50000,50000,8,16,5,384,7.861485,31800.605729,2026-06-01T12:13:00
slate-gemm,cpp,perlmutter-gpu-cpu,16,64,32,50000,50000,50000,8,8,9,384,12.73746,19627.147259,2026-06-01T11:58:58
slate-gemm,cpp,perlmutter-gpu-cpu,32,128,32,50000,50000,50000,8,16,9,384,7.851844,31839.656079,2026-06-01T12:14:29
slate-gemm,cpp,perlmutter-gpu-cpu,16,64,32,50000,50000,50000,8,8,3,384,12.711184,19667.718628,2026-06-01T11:55:49
slate-gemm,cpp,perlmutter-gpu-cpu,1,4,32,50000,50000,50000,2,2,4,384,166.107875,1505.046045,2026-06-01T09:30:47
slate-gemm,cpp,perlmutter-gpu-cpu,16,64,32,50000,50000,50000,8,8,1,384,12.80861,19518.120273,2026-06-01T11:54:46
slate-gemm,cpp,perlmutter-gpu-cpu,4,16,32,50000,50000,50000,4,4,3,384,44.456072,5623.528744,2026-06-01T07:57:16
slate-gemm,cpp,perlmutter-gpu-cpu,32,128,32,50000,50000,50000,8,16,7,384,7.689063,32513.712897,2026-06-01T12:13:45
slate-gemm,cpp,perlmutter-gpu-cpu,16,64,32,50000,50000,50000,8,8,6,384,12.802806,19526.969763,2026-06-01T11:57:24
slate-gemm,cpp,perlmutter-gpu-cpu,16,64,32,50000,50000,50000,8,8,5,384,12.853683,19449.678855,2026-06-01T11:56:52
slate-gemm,cpp,perlmutter-gpu-cpu,32,128,32,50000,50000,50000,8,16,2,384,7.93979,31486.9796,2026-06-01T12:11:55
slate-gemm,cpp,perlmutter-gpu-cpu,32,128,32,50000,50000,50000,8,16,8,384,7.808547,32016.199074,2026-06-01T12:14:07
slate-gemm,cpp,perlmutter-gpu-cpu,2,8,32,50000,50000,50000,2,4,2,384,85.83277,2912.640476,2026-06-01T08:17:43
slate-gemm,cpp,perlmutter-gpu-cpu,16,64,32,50000,50000,50000,8,8,4,384,12.876793,19414.771633,2026-06-01T11:56:20
