alg,impl,system,nnode,nproc,nthread,n,r,matmul1p1,matmul1p2,matmul1p3,matmul2p1,matmul2p2,matmul2p3,total_time,gen_omega_time,dgemm1_time,dgemm2_time,all2all_time,reduce_scatter_time,reduce_scatter_1_time,reduce_scatter_2_time,unpack_time,pack_time
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,32,128,32,50000,5000,128,1,1,1,1,128,1.232421,0.284497,0.684927,0.21688,0.015712,0.0,0.0,0.0,0.00374,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,1,4,32,50000,5000,4,1,1,4,1,1,22.069563,0.177927,17.663274,1.694665,0.0,0.045243,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,2,8,32,50000,5000,8,1,1,8,1,1,1.14213,0.065178,0.757354,0.09634,0.0,0.203847,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,1,4,32,100000,5000,2,2,1,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,128,512,32,50000,500,512,1,1,1,1,512,0.398203,0.051867,0.155431,0.07852,0.063956,0.0,0.0,0.0,0.037945,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,8,32,32,50000,500,32,1,1,1,1,32,0.458739,0.1303,0.279583,0.029885,0.005497,0.0,0.0,0.0,0.002415,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,64,256,32,50000,500,16,16,1,1,256,1,0.288911,0.135265,0.07971,0.027725,0.0,0.0,0.000519,0.035247,0.0,0.003282
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,32,128,32,50000,5000,128,1,1,128,1,1,1.748681,0.07877,0.082096,0.007471,0.0,1.428619,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,2,8,32,50000,500,8,1,1,8,1,1,1.015148,0.094791,0.88682,0.027153,0.0,0.001515,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,1,4,32,50000,5000,4,1,1,4,1,1,21.769467,0.238369,17.459397,1.687582,0.0,0.044667,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,1,4,32,50000,500,2,2,1,1,4,1,4.199779,0.03898,1.839999,0.0364,0.0,0.0,0.007819,0.001226,0.0,0.016442
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,1,4,32,50000,5000,4,1,1,4,1,1,2.081393,0.042552,1.6229,0.189604,0.0,0.190225,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,2,8,32,50000,500,8,1,1,1,1,8,1.041943,0.094419,0.893493,0.032865,0.006921,0.0,0.0,0.0,0.005627,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,16,64,32,50000,5000,8,8,1,1,64,1,1.100471,0.088369,0.119762,0.012517,0.0,0.0,0.001015,0.732174,0.0,0.021522
